label,iter_from,iter_to,d_v_depth,d_v_pnorm,d_v_dnorm,d_v_arrow,delta_arrow,Q_shape
dijet_chi_13tev_cms_mgt6,6,7,1.0,-0.5529883411911034,-9.866263277206911e-12,-0.6623741645776304,1.0,-0.744535639393202
dijet_chi_13tev_cms_mgt6,7,8,1.0,-1.3003936000303027,-1.2064109852318173e-12,-1.2147989554108214,1.0,-3.1667600170669936
dijet_chi_13tev_cms_mgt6,8,9,1.0,-0.7132061492428721,-1.8969307894379986e-13,-0.87790013056782,1.0,-1.2793716505688413
dijet_chi_13tev_cms_mgt6,9,10,1.0,-0.1095806568705564,-2.2755159410340688e-14,-0.1397913785077006,1.0,-0.031549549865265834
dijet_chi_13tev_cms_mgt6,10,11,1.0,-0.0115587131886232,-2.3329202209172524e-15,-0.014798934598248999,1.0,-0.0003526123158201032
dijet_chi_13tev_cms_mgt6,11,12,1.0,-0.0011622205724476,-2.3389645833369045e-16,-0.0014885626833389,1.0,-3.566575521249533e-06
dijet_chi_7tev_cms,0,1,1.0,-3.1629838357360995e-06,-7.30563398482253e-06,-1.437197673626045e-05,1.0,-2.0570225868977198e-10
dijet_chi_7tev_cms,1,2,1.0,-7.2546893821190395e-06,-7.305790165192458e-07,-3.8881145343339085e-06,1.0,-6.763938878787579e-11
dijet_chi_7tev_cms,2,3,1.0,-7.010572567534012e-05,-7.305805782149977e-08,-2.4898091282476997e-05,1.0,-5.534726636333207e-09
dijet_chi_7tev_cms,3,4,1.0,-0.0007004545934266027,-7.3058072022424155e-09,-0.00024762454579363435,1.0,-5.519545531210745e-07
dijet_chi_7tev_cms,4,5,0.9999999999999996,-0.006968861339395449,-7.305793216660672e-10,-0.002480249127776446,0.9999999999999996,-5.471666410355625e-05
dijet_chi_7tev_cms,5,6,1.0000000000000004,-0.06633853723518968,-7.304410997915219e-11,-0.025165552312477857,1.0000000000000004,-0.005034106545696707
dijet_chi_7tev_cms,6,7,1.0,-0.45788147823551206,-7.189850988605503e-12,-0.25851557691776117,1.0,-0.27648575162026057
dijet_chi_7tev_cms,7,8,1.0,-1.2164823226373844,1.9768635236607227e-13,-1.2853684527309712,1.0,-3.1320013005652565
dijet_chi_7tev_cms,8,9,1.0,-0.7411955096923386,-2.1059720773536883e-13,-0.963708209464984,1.0,-1.4781042965782913
dijet_chi_7tev_cms,9,10,1.0,-0.11904762073458519,-3.867090634519682e-14,-0.1590387935486059,1.0,-0.039465673855961725
dijet_chi_7tev_cms,10,11,1.0,-0.0126418299204132,-4.1554198582032076e-15,-0.016934630310087,1.0,-0.0004465975674759718
dijet_chi_7tev_cms,11,12,1.0,-0.0012720264925466,-4.186093141248588e-16,-0.001704434295851,1.0,-4.5231476666135e-06
hgg_pt_8tev_atlas,0,1,1.0,-2.850429931888776e-05,-4.548535915374357e-06,-0.00016094147402334613,1.0,-2.6710444961464943e-08
hgg_pt_8tev_atlas,1,2,1.0,-0.0002752070777232163,-4.548558093849662e-07,-0.0015652504439547243,1.0,-2.525747845847214e-06
hgg_pt_8tev_atlas,2,3,1.0,-0.0024812286883324486,-4.5487602995209015e-08,-0.01417159801199297,1.0,-0.0002069906860169062
hgg_pt_8tev_atlas,3,4,1.0,-0.012561828157440003,-4.55849443969993e-09,-0.07071630774227078,1.0,-0.005158595707356594
hgg_pt_8tev_atlas,4,5,0.9999999999999996,-0.03205868782470822,-4.643319214365939e-10,-0.10100275869988806,0.9999999999999996,-0.011229316730029908
hgg_pt_8tev_atlas,5,6,1.0000000000000004,-0.1898697677244674,-4.7259924068783785e-11,-0.3225274461663321,1.0000000000000004,-0.14007448222631946
hgg_pt_8tev_atlas,6,7,1.0,-0.5982942385944754,-4.530012650536344e-12,-0.935055252438259,1.0,-1.2322843210477195
hgg_pt_8tev_atlas,7,8,1.0,-0.5743267795041374,-1.5923804911625634e-13,-0.551103044833174,1.0,-0.6335658156799893
hgg_pt_8tev_atlas,8,9,1.0,-0.155364411462322,-2.3320277001873213e-14,-0.185183157030514,1.0,-0.05843090199682169
hgg_pt_8tev_atlas,9,10,1.0,-0.0185345672943747,-3.665986270462085e-15,-0.0225640365370521,1.0,-0.0008526659296351263
hgg_pt_8tev_atlas,10,11,1.0,-0.0018896481484414998,-3.8263905959900195e-16,-0.0023052780581021,1.0,-8.885077050075378e-06
hgg_pt_8tev_atlas,11,12,1.0,-0.00018933422322986148,-3.842756442796556e-17,-0.00023102761543841355,1.0,-8.92212071812145e-08
pTll_106_170,0,1,1.0,0.0009717957358414964,-0.002013054185256,-0.0010064180086679642,1.0,-1.1330086134961254e-06
pTll_106_170,1,2,1.0,9.545084594453357e-05,-0.00020146934987820122,-0.0001076635493504341,1.0,-1.2446318405794255e-08
pTll_106_170,2,3,1.0,-8.534904652357511e-06,-2.014857564333956e-05,-8.016971584012822e-05,1.0,-6.417454633879116e-09
pTll_106_170,3,4,1.0,-0.00018153348958360738,-2.0148739725072237e-06,-0.0007015690142413433,1.0,-5.251526638375086e-07
pTll_106_170,4,5,0.9999999999999996,-0.0018122779738840578,-2.0148756406572535e-07,-0.0069586768758505,0.9999999999999996,-5.1707535308864305e-05
pTll_106_170,5,6,1.0000000000000004,-0.016955092375196656,-2.0148783674874683e-08,-0.06520349853302143,1.0000000000000004,-0.004538971378397098
pTll_106_170,6,7,1.0,-0.10698821082802557,-2.0150348774711112e-09,-0.39950741282651947,1.0,-0.17105265015952112
pTll_106_170,7,8,1.0,-0.4237828012879552,-2.0184663585292235e-10,-0.9330910604423188,1.0,-1.0502507897448377
pTll_106_170,8,9,1.0,-2.156494165315168,-2.1258272489743853e-11,-3.0956569314610354,1.0,-14.233558922341118
pTll_106_170,9,10,1.0,-3.120194234954086,-3.5218305429830144e-12,-4.427712725225067,1.0,-29.340252040960706
pTll_106_170,10,11,1.0,-0.8383925824980751,-5.812247110227776e-13,-1.1796633741549805,1.0,-2.094507798710505
pTll_106_170,11,12,1.0,-0.09959428782424691,-6.416180233415556e-14,-0.1391112866730812,1.0,-0.029270972247059115
pTll_170_350,0,1,1.0,0.00010597420077118613,-0.0002159100323275918,-0.0001334005543451866,1.0,-1.9544312433751424e-08
pTll_170_350,1,2,1.0,-1.1062713928922108e-05,-2.1596029546436672e-05,-7.007448800600002e-05,1.0,-4.937954089468716e-09
pTll_170_350,2,3,1.0,-0.00021759273078991725,-2.159653220434007e-06,-0.0005739582650612363,1.0,-3.7677373784636433e-07
pTll_170_350,3,4,1.0,-0.002172701041506464,-2.1596573447833357e-07,-0.005690697420376978,1.0,-3.7104666936561644e-05
pTll_170_350,4,5,0.9999999999999996,-0.02042279123250257,-2.1595730714573968e-08,-0.05350455513721997,0.9999999999999996,-0.0032798278221581
pTll_170_350,5,6,1.0000000000000004,-0.12642723149480695,-2.154449216809037e-09,-0.32962329399656376,1.0000000000000004,-0.12463536080858661
pTll_170_350,6,7,1.0,-0.25966994738152316,-2.0866218237661235e-10,-0.5632346483816999,1.0,-0.3846617507107801
pTll_170_350,7,8,1.0,-0.895615985806093,-2.0258396350317165e-11,-1.0838547987097735,1.0,-1.9768692187176236
pTll_170_350,8,9,1.0,-3.12924703987807,-3.839216547410592e-12,-3.92118030116976,1.0,-25.167841990867434
pTll_170_350,9,10,1.0,-2.3082188514164392,-1.641067484233676e-12,-3.241946634689122,1.0,-15.838092248206351
pTll_170_350,10,11,1.0,-0.48699720690237475,-3.058431795039777e-13,-0.684503862405973,1.0,-0.7057118171794097
pTll_170_350,11,12,1.0,-0.0559551060037295,-3.4088312046775675e-14,-0.0778362681981303,1.0,-0.009189458534899875
pTll_50_76,0,1,1.0,0.00045650225502669173,-0.0022914187782085,-0.0021058641451841,1.0,-3.5750860633328766e-06
pTll_50_76,1,2,1.0,4.412592304525731e-05,-0.0002293230613352654,-0.00021989455210480457,1.0,-3.9604095011968406e-08
pTll_50_76,2,3,1.0,-1.1205436339700725e-05,-2.2934119413447752e-05,-0.00011335366339615405,1.0,-1.2867631731204503e-08
pTll_50_76,3,4,1.0,-0.00015710488236475584,-2.293430079832342e-06,-0.0009240071187477383,1.0,-8.784700297116414e-07
pTll_50_76,4,5,0.9999999999999996,-0.0015558727880966572,-2.2934323134346724e-07,-0.00912484196731711,0.9999999999999996,-8.568348105055274e-05
pTll_50_76,5,6,1.0000000000000004,-0.013844833307712356,-2.29347039994601e-08,-0.08275237682643599,1.0000000000000004,-0.007039635279742695
pTll_50_76,6,7,1.0,-0.07229385386015519,-2.295291611150878e-09,-0.42489640050009037,1.0,-0.18576335246388667
pTll_50_76,7,8,1.0,-0.37887670039785526,-2.3114028813828775e-10,-0.8619708238775594,1.0,-0.8865412553205247
pTll_50_76,8,9,1.0,-2.1541819962098847,-2.366625145503055e-11,-3.1040475344632377,1.0,-14.275611169002108
pTll_50_76,9,10,1.0,-2.781337852814221,-2.880693908222514e-12,-3.8968412048730388,1.0,-22.921211627493577
pTll_50_76,10,11,1.0,-0.6555427688790034,-3.715603584599662e-13,-0.9033426098891691,1.0,-1.2457641926709262
pTll_50_76,11,12,1.0,-0.074763505826728,-3.9399157032946304e-14,-0.1023936437200302,1.0,-0.016074040077767672
pTll_76_106,0,1,1.0,0.004475899972733011,-0.0181440840538224,-0.014406497562057474,1.0,-0.0001606199888681275
pTll_76_106,1,2,1.0,0.0004507971681455558,-0.0018233860184032002,-0.0014506533966951451,1.0,-1.6313619453843915e-06
pTll_76_106,2,3,1.0,5.376114895572215e-05,-0.00018242882631599398,-0.00017054286686946085,1.0,-2.5205922302206267e-08
pTll_76_106,3,4,1.0,9.194897289610537e-05,-1.8243785354226263e-05,-0.00027099847488898376,1.0,-8.182708822659989e-08
pTll_76_106,4,5,0.9999999999999996,0.0008742820019893571,-1.8243878350794405e-06,-0.0025584112065866194,0.9999999999999996,-7.309836243995797e-06
pTll_76_106,5,6,1.0000000000000004,0.008669438596911938,-1.8244151649045005e-07,-0.024783501612276382,1.0000000000000004,-0.0006893811177445623
pTll_76_106,6,7,1.0,0.07729958536191539,-1.8264450617433684e-08,-0.18923041707440547,1.0,-0.041783376643277415
pTll_76_106,7,8,1.0,0.22517031222713957,-1.8770605857230594e-09,-0.5601644331374276,1.0,-0.36448586166064306
pTll_76_106,8,9,1.0,-0.587763489715126,-2.0459887545907792e-10,-1.3311964903173443,1.0,-2.1175500156753184
pTll_76_106,9,10,1.0,-2.7747815773953417,-2.2032981531502704e-11,-2.490859059896738,1.0,-13.903791658522243
pTll_76_106,10,11,1.0,-2.218443067592719,-2.8479536769463983e-12,-2.51794335678961,1.0,-11.261528392151124
pTll_76_106,11,12,1.0,-0.4011753460377136,-3.4333929053106757e-13,-0.47761721608588203,1.0,-0.3890598633701074
phistar_50_76,0,1,1.0,0.09580550383346598,-0.0596312564785933,0.07972790403493235,1.0,-0.014811965881797156
phistar_50_76,1,2,1.0,0.009779972858993347,-0.0060812404446591,0.008136583447949874,1.0,-0.00015432982520877125
phistar_50_76,2,3,1.0,0.000977275176044401,-0.0006093288114057794,0.0008112186494919627,1.0,-1.5376237894729513e-06
phistar_50_76,3,4,1.0,7.015062877613332e-05,-6.094495290214158e-05,3.998670026561513e-05,1.0,-5.7645608822037274e-09
phistar_50_76,4,5,0.9999999999999996,-0.0002689227871748301,-6.094616036400514e-06,-0.00040741856795634135,0.9999999999999996,-2.3830179981777693e-07
phistar_50_76,5,6,1.0000000000000004,-0.00278278663076037,-6.094628552234545e-07,-0.004144750994679924,1.0000000000000004,-2.4922862164686967e-05
phistar_50_76,6,7,1.0,-0.027503099541974052,-6.094671888022983e-08,-0.04048507721887695,1.0,-0.0023954619618334074
phistar_50_76,7,8,1.0,-0.2511172406076003,-6.097554636462957e-09,-0.3388297733830221,1.0,-0.17786548386116552
phistar_50_76,8,9,1.0,-1.7438646515784768,-6.164378818260912e-10,-1.9236132533864678,1.0,-6.741351871628993
phistar_50_76,9,10,1.0,-4.4394327822857615,-6.894701162628826e-11,-4.6300947453322685,1.0,-41.146340779186986
phistar_50_76,10,11,1.0,-1.8967008332356872,-9.25909765085692e-12,-2.149635042121541,1.0,-8.218404865113829
phistar_50_76,11,12,1.0,-0.2831792162070421,-1.0958469107782709e-12,-0.3820951830746095,1.0,-0.22618719742045407
ptll_76_106_table,0,1,1.0,1.6683839376696596e-07,-5.269775362748419e-07,-2.4436731500543374e-06,1.0,-5.942888251082859e-12
ptll_76_106_table,1,2,1.0,1.6683393511129907e-06,-5.269567177279555e-06,-2.4435628823482602e-05,1.0,-5.942352321923116e-10
ptll_76_106_table,2,3,1.0,1.6678937974745622e-05,-5.267486324012083e-05,-0.0002442460712011041,1.0,-5.936996824552809e-08
ptll_76_106_table,3,4,1.0,0.00016634583718300178,-0.0005246795507121149,-0.0024314896061028435,1.0,-5.8838189346020005e-06
ptll_76_106_table,4,5,0.9999999999999996,0.0016210281907849122,-0.0050510455019558975,-0.02326615098413143,0.9999999999999996,-0.0005387521574728998
ptll_76_106_table,5,6,1.0000000000000004,0.01328841993536578,-0.038113473431038436,-0.1608780241647878,1.0000000000000004,-0.025762854426835256
ptll_76_106_table,6,7,1.0,0.07828963519346388,-0.2025036011058683,-0.3241483322406502,1.0,-0.10286044037218481
ptll_76_106_table,7,8,1.0,0.4952568194587972,-1.274127084877402,-0.30904306136313053,1.0,-0.010587405896880231
ptll_76_106_table,8,9,1.0,1.1039351672149156,-2.652805243591251,-0.46151478626863707,1.0,-0.00026654202791612236
ptll_76_106_table,9,10,1.0,0.3977677811698914,-0.9096332454271492,-0.15522069435621333,1.0,-0.014012872475944481
ptll_76_106_table,10,11,1.0,0.05024677753991291,-0.113559955447232,-0.01938527534214529,1.0,-0.0002775089211648167
ptll_76_106_table,11,12,1.0,0.0051564509254475865,-0.0116387369548741,-0.0019893979743521584,1.0,-2.9940861930791773e-06
ttbar_mtt_8tev_cms,0,1,1.0,-0.0003638768422948857,-0.0031645203456238,-0.0014430496471682375,1.0,-1.7791259431672888e-07
ttbar_mtt_8tev_cms,1,2,1.0,-3.955907314878715e-05,-0.00031680096377537044,-0.00016289255810697512,1.0,-7.685101933018033e-09
ttbar_mtt_8tev_cms,2,3,1.0,-3.600296805927883e-05,-3.168358956284261e-05,-0.00020042619785698434,1.0,-4.126269143748536e-08
ttbar_mtt_8tev_cms,3,4,1.0,-0.00032350677477399614,-3.1683940030538556e-06,-0.0018590453227442794,1.0,-3.560704103466293e-06
ttbar_mtt_8tev_cms,4,5,0.9999999999999996,-0.0031755619925508682,-3.1684084757312634e-07,-0.01834393286416791,0.9999999999999996,-0.00034658406687321426
ttbar_mtt_8tev_cms,5,6,1.0000000000000004,-0.026948322484344978,-3.169383979607276e-08,-0.1628493167627525,1.0000000000000004,-0.027246112054815346
ttbar_mtt_8tev_cms,6,7,1.0,-0.09247853782343274,-3.212583491379031e-09,-0.7253745228923005,1.0,-0.5347204784191927
ttbar_mtt_8tev_cms,7,8,1.0,-0.061409758741917564,-3.5344348702691214e-10,-0.6477133121521739,1.0,-0.42330369320787997
ttbar_mtt_8tev_cms,8,9,1.0,-0.1980796607205555,-3.8439973798515227e-11,-0.6335902569360492,1.0,-0.4406721656754592
ttbar_mtt_8tev_cms,9,10,1.0,-0.4878744177477401,-1.5910506190713737e-13,-1.1571185816950456,1.0,-1.5769448595966502
ttbar_mtt_8tev_cms,10,11,1.0,-0.10099110132294609,9.4166163238356e-13,0.6945772245790378,1.0,-0.49263672345034065
ttbar_mtt_8tev_cms,11,12,1.0,0.05751498740783223,1.5848251446264694e-13,0.17909675201995334,1.0,-0.03538362036061976
z_pt_7tev_atlas,0,1,1.0,-0.031613562476793255,-0.11319373508670359,-0.10136110148696797,1.0,-0.008667362300895978
z_pt_7tev_atlas,1,2,1.0,-0.0031593175542701246,-0.011593576815196401,-0.010445810385263599,1.0,-9.175703986017078e-05
z_pt_7tev_atlas,2,3,1.0,-0.0003157486402800558,-0.0011621667695786,-0.001049089248567725,1.0,-9.255669877954828e-07
z_pt_7tev_atlas,3,4,1.0,-3.0210633146232624e-05,-0.00011624483653492039,-0.00011803177362423867,1.0,-1.2095665804902195e-08
z_pt_7tev_atlas,4,5,0.9999999999999996,1.060542174080581e-05,-1.1624765319762896e-05,-0.00014258636148767323,0.9999999999999996,-2.041585895927215e-08
z_pt_7tev_atlas,5,6,1.0000000000000004,0.00013624455523508772,-1.1624793649054907e-06,-0.0013097387310239128,1.0000000000000004,-1.7339778475090635e-06
z_pt_7tev_atlas,6,7,1.0,0.0012639284726088107,-1.1624811294940962e-07,-0.01195763259739202,1.0,-0.0001445824925153348
z_pt_7tev_atlas,7,8,1.0,0.006595100697566636,-1.162557807190259e-08,-0.06148787332749617,1.0,-0.003824253919549231
z_pt_7tev_atlas,8,9,1.0,-0.00678836712523978,-1.1632828352766769e-09,-0.05508391994191353,1.0,-0.003080320164394175
z_pt_7tev_atlas,9,10,1.0,-0.13503522348907104,-1.162257926952965e-10,0.030555146910952402,1.0,-0.019168128585493247
z_pt_7tev_atlas,10,11,1.0,-0.7544007075720973,-1.1205373981644036e-11,-0.5796322261522073,1.0,-0.9050939451794447
z_pt_7tev_atlas,11,12,1.0,-2.0738980574600614,-8.44959491335984e-13,-2.5407194579109578,1.0,-10.756308516543967
