variant_id,arrow_col,arrow_transform,eps,eps_arrow,jump_filter_frac,noise_std,noise_scale,resample_steps,resample_rep,threshold,overall_interval_start,overall_interval_end,overall_interval_len,n_labels
72,v_arrow,rank,1e-12,1e-11,0.1,1e-06,rel,True,2,1.0,0.1,1.0,0.9,13
73,v_arrow,rank,1e-11,1e-12,0.0,0.0,rel,True,0,1.0,0.1,1.0,0.9,13
74,v_arrow,rank,1e-11,1e-12,0.0,0.0,rel,True,1,1.0,0.1,1.0,0.9,13
75,v_arrow,rank,1e-11,1e-12,0.0,0.0,rel,True,2,1.0,0.1,1.0,0.9,13
76,v_arrow,rank,1e-11,1e-12,0.0,1e-06,rel,True,0,1.0,0.1,1.0,0.9,13
77,v_arrow,rank,1e-11,1e-12,0.0,1e-06,rel,True,1,1.0,0.1,1.0,0.9,13
78,v_arrow,rank,1e-11,1e-12,0.0,1e-06,rel,True,2,1.0,0.1,1.0,0.9,13
79,v_arrow,rank,1e-11,1e-12,0.1,0.0,rel,True,0,1.0,0.1,1.0,0.9,13
80,v_arrow,rank,1e-11,1e-12,0.1,0.0,rel,True,1,1.0,0.1,1.0,0.9,13
81,v_arrow,rank,1e-11,1e-12,0.1,0.0,rel,True,2,1.0,0.1,1.0,0.9,13
82,v_arrow,rank,1e-11,1e-12,0.1,1e-06,rel,True,0,1.0,0.1,1.0,0.9,13
83,v_arrow,rank,1e-11,1e-12,0.1,1e-06,rel,True,1,1.0,0.1,1.0,0.9,13
84,v_arrow,rank,1e-11,1e-12,0.1,1e-06,rel,True,2,1.0,0.1,1.0,0.9,13
85,v_arrow,rank,1e-11,1e-11,0.0,0.0,rel,True,0,1.0,0.1,1.0,0.9,13
86,v_arrow,rank,1e-11,1e-11,0.0,0.0,rel,True,1,1.0,0.1,1.0,0.9,13
87,v_arrow,rank,1e-11,1e-11,0.0,0.0,rel,True,2,1.0,0.1,1.0,0.9,13
88,v_arrow,rank,1e-11,1e-11,0.0,1e-06,rel,True,0,1.0,0.1,1.0,0.9,13
89,v_arrow,rank,1e-11,1e-11,0.0,1e-06,rel,True,1,1.0,0.1,1.0,0.9,13
90,v_arrow,rank,1e-11,1e-11,0.0,1e-06,rel,True,2,1.0,0.1,1.0,0.9,13
91,v_arrow,rank,1e-11,1e-11,0.1,0.0,rel,True,0,1.0,0.1,1.0,0.9,13
92,v_arrow,rank,1e-11,1e-11,0.1,0.0,rel,True,1,1.0,0.1,1.0,0.9,13
93,v_arrow,rank,1e-11,1e-11,0.1,0.0,rel,True,2,1.0,0.1,1.0,0.9,13
94,v_arrow,rank,1e-11,1e-11,0.1,1e-06,rel,True,0,1.0,0.1,1.0,0.9,13
95,v_arrow,rank,1e-11,1e-11,0.1,1e-06,rel,True,1,1.0,0.1,1.0,0.9,13
96,v_arrow,rank,1e-11,1e-11,0.1,1e-06,rel,True,2,1.0,0.1,1.0,0.9,13
