p,q,z,mask,descent_frac_min,descent_frac_mean,max_violation_max,max_violation_mean,cone_frac_min,cone_frac_mean,n_labels
0,4,0,"-1,-1,-1,-1",0.08333333333333333,0.13333333333333336,77.7316724956882,60.317007642739824,0.0,0.06666666666666667,5
0,3,1,"-1,0,-1,-1",0.08333333333333333,0.13333333333333336,77.7316724956882,60.317007642739824,0.0,0.06666666666666667,5
1,3,0,"-1,1,-1,-1",0.08333333333333333,0.13333333333333336,77.7316724956882,60.317007642739824,0.0,0.06666666666666667,5
1,2,1,"1,-1,0,-1",0.0,0.016666666666666666,23.056849883595365,15.842413123629859,0.0,0.06666666666666667,5
1,1,2,"1,0,0,-1",0.0,0.016666666666666666,23.056849883595365,15.842413123629859,0.0,0.0,5
2,1,1,"1,1,0,-1",0.0,0.016666666666666666,23.056849883595365,15.842413123629859,0.0,0.0,5
0,2,2,"0,-1,0,-1",0.0,0.06666666666666667,46.84757687779465,39.80257847925621,0.0,0.06666666666666667,5
0,1,3,"0,0,0,-1",0.0,0.06666666666666667,46.84757687779465,39.80257847925621,0.0,0.06666666666666667,5
1,1,2,"0,1,0,-1",0.0,0.06666666666666667,46.84757687779465,39.80257847925621,0.0,0.05,5
0,3,1,"-1,-1,0,-1",0.0,0.06666666666666667,84.7316724956882,66.11700764273982,0.0,0.06666666666666667,5
0,2,2,"-1,0,0,-1",0.0,0.06666666666666667,84.7316724956882,66.11700764273982,0.0,0.06666666666666667,5
1,2,1,"-1,1,0,-1",0.0,0.06666666666666667,84.7316724956882,66.11700764273982,0.0,0.06666666666666667,5
