frequency_cycles_per_sample,constructive_amplitude,negative_destructive_amplitude
0.001060000000,1.564519313868e-12,-3.218488826830e-13
0.001070000000,1.558274651799e-12,-3.220191000793e-13
0.001080000000,1.552224395669e-12,-3.221829672905e-13
0.001090000000,1.546323556433e-12,-3.223479989801e-13
0.001100000000,1.540580258108e-12,-3.225025455829e-13
0.001110000000,1.535017756490e-12,-3.226553728096e-13
0.001120000000,1.529570696710e-12,-3.228015045918e-13
0.001130000000,1.524290950468e-12,-3.229483444868e-13
0.001140000000,1.519158317672e-12,-3.230891296954e-13
0.001150000000,1.514143768166e-12,-3.232282873851e-13
0.001160000000,1.509266371083e-12,-3.233646706495e-13
0.001170000000,1.504518291048e-12,-3.234943319440e-13
0.001180000000,1.499898846363e-12,-3.236234948125e-13
0.001190000000,1.495385506830e-12,-3.237461978340e-13
0.001200000000,1.490995756836e-12,-3.238711979740e-13
0.001210000000,1.486716729663e-12,-3.239879305383e-13
0.001220000000,1.482534350701e-12,-3.241043606846e-13
0.001230000000,1.478456731172e-12,-3.242198426959e-13
0.001240000000,1.474528900601e-12,-3.243293288501e-13
0.001250000000,1.470581751882e-12,-3.244438942827e-13
0.001260000000,1.466867883293e-12,-3.245435302055e-13
0.001270000000,1.463148701415e-12,-3.246483344431e-13
0.001280000000,1.459542467451e-12,-3.247501180258e-13
0.001290000000,1.456026361404e-12,-3.248510684392e-13
0.001300000000,1.452588813270e-12,-3.249436205725e-13
0.001310000000,1.449233754689e-12,-3.250424641476e-13
0.001320000000,1.445957732677e-12,-3.251341092600e-13
0.001330000000,1.442760589070e-12,-3.252268266059e-13
0.001340000000,1.439631239065e-12,-3.253151188807e-13
0.001350000000,1.436575411055e-12,-3.254023689414e-13
0.001360000000,1.433588940526e-12,-3.254864164979e-13
0.001370000000,1.430655713010e-12,-3.255700049278e-13
0.001380000000,1.427808678843e-12,-3.256540839270e-13
0.001390000000,1.425032250624e-12,-3.257310549730e-13
0.001400000000,1.422317210585e-12,-3.258138663149e-13
0.001410000000,1.419635290468e-12,-3.258894937358e-13
0.001420000000,1.417008363004e-12,-3.259666865540e-13
0.001430000000,1.414467515801e-12,-3.260426170448e-13
0.001440000000,1.411973874300e-12,-3.261123672997e-13
0.001450000000,1.409516582537e-12,-3.261881503581e-13
0.001460000000,1.407141323775e-12,-3.262572604570e-13
0.001470000000,1.404801564572e-12,-3.263272271267e-13
0.001480000000,1.402490112427e-12,-3.263939320831e-13
0.001490000000,1.400246829118e-12,-3.264624878892e-13
0.001500000000,1.398038157455e-12,-3.265270359971e-13
0.001510000000,1.395900682390e-12,-3.265927117978e-13
0.001520000000,1.393811126210e-12,-3.266533843402e-13
0.001530000000,1.391739595406e-12,-3.267168234422e-13
0.001540000000,1.389699024917e-12,-3.267757728723e-13
0.001550000000,1.387735266851e-12,-3.268386662425e-13
0.001560000000,1.385784580191e-12,-3.268960164068e-13
0.001570000000,1.383876862154e-12,-3.269557657069e-13
0.001580000000,1.382007726046e-12,-3.270114235117e-13
0.001590000000,1.380178425824e-12,-3.270699230814e-13
0.001600000000,1.378398367391e-12,-3.271258028832e-13
0.001610000000,1.376650100470e-12,-3.271768676000e-13
0.001620000000,1.374913563787e-12,-3.272323108710e-13
0.001630000000,1.373237222977e-12,-3.272847971219e-13
0.001640000000,1.371577414300e-12,-3.273357570826e-13
0.001650000000,1.369959420921e-12,-3.273910420093e-13
0.001660000000,1.368367152392e-12,-3.274338027431e-13
0.001670000000,1.366808777400e-12,-3.274917505572e-13
0.001680000000,1.365262109556e-12,-3.275365786674e-13
0.001690000000,1.363773902409e-12,-3.275842265900e-13
0.001700000000,1.362331288958e-12,-3.276323814699e-13
0.001710000000,1.360855352882e-12,-3.276788512007e-13
0.001720000000,1.359436418703e-12,-3.277246031992e-13
0.001730000000,1.358040687757e-12,-3.277740718681e-13
0.001740000000,1.356683955121e-12,-3.278113175379e-13
0.001750000000,1.355331939625e-12,-3.278581912597e-13
0.001760000000,1.354033670304e-12,-3.279016080839e-13
0.001770000000,1.352738555069e-12,-3.279465487565e-13
0.001780000000,1.351473951399e-12,-3.279895593636e-13
0.001790000000,1.350215254827e-12,-3.280286781114e-13
0.001800000000,1.348997358288e-12,-3.280726325664e-13
0.001810000000,1.347802710143e-12,-3.281114409544e-13
0.001820000000,1.346620372303e-12,-3.281537064233e-13
0.001830000000,1.345464883178e-12,-3.281915513539e-13
0.001840000000,1.344334314995e-12,-3.282321382586e-13
0.001850000000,1.343215711493e-12,-3.282711008182e-13
0.001860000000,1.342123740560e-12,-3.283084068540e-13
0.001870000000,1.341046879819e-12,-3.283468291398e-13
0.001880000000,1.339989924084e-12,-3.283828197787e-13
0.001890000000,1.338941518588e-12,-3.284208178776e-13
0.001900000000,1.337944448707e-12,-3.284566129235e-13
0.001910000000,1.336926561962e-12,-3.284915448672e-13
0.001920000000,1.335965314445e-12,-3.285279593248e-13
0.001930000000,1.334986077178e-12,-3.285634550953e-13
0.001940000000,1.334044591962e-12,-3.285993025627e-13
0.001950000000,1.333104461332e-12,-3.286324493361e-13
0.001960000000,1.332186824290e-12,-3.286678135820e-13
0.001970000000,1.331290504283e-12,-3.287005417251e-13
0.001980000000,1.330394575270e-12,-3.287324578305e-13
0.001990000000,1.329540949051e-12,-3.287700492409e-13
0.002000000000,1.328668560438e-12,-3.287998513169e-13
0.002010000000,1.327843345100e-12,-3.288364899236e-13
0.002020000000,1.327018700828e-12,-3.288574988750e-13
0.002030000000,1.326199430348e-12,-3.288985298400e-13
0.002040000000,1.325412616209e-12,-3.289265467254e-13
0.002050000000,1.324644355667e-12,-3.289585168268e-13
0.002060000000,1.323850337584e-12,-3.289873751581e-13
0.002070000000,1.323107142332e-12,-3.290199172593e-13
0.002080000000,1.322302640140e-12,-3.290480178501e-13
0.002090000000,1.321642558951e-12,-3.290803075381e-13
0.002100000000,1.320917566375e-12,-3.291053444003e-13
0.002110000000,1.320193043379e-12,-3.291394108722e-13
0.002120000000,1.319502064002e-12,-3.291650990858e-13
0.002130000000,1.318828159572e-12,-3.291936222311e-13
0.002140000000,1.318172153519e-12,-3.292245972907e-13
0.002150000000,1.317505645900e-12,-3.292499524592e-13
0.002160000000,1.316878267764e-12,-3.292810466291e-13
0.002170000000,1.316192963294e-12,-3.293072141567e-13
0.002180000000,1.315583395813e-12,-3.293345168681e-13
0.002190000000,1.314958366715e-12,-3.293637377090e-13
0.002200000000,1.314349145717e-12,-3.293882602163e-13
0.002210000000,1.313768738686e-12,-3.294146936032e-13
0.002220000000,1.313189176721e-12,-3.294433953286e-13
0.002230000000,1.312611313990e-12,-3.294693601682e-13
0.002240000000,1.312029637522e-12,-3.294951055198e-13
0.002250000000,1.311481714273e-12,-3.295206680241e-13
0.002260000000,1.310944002820e-12,-3.295475597765e-13
0.002270000000,1.310406756438e-12,-3.295711450257e-13
0.002280000000,1.309879851943e-12,-3.295996158722e-13
0.002290000000,1.309373767961e-12,-3.296214692818e-13
0.002300000000,1.308839473001e-12,-3.296518503078e-13
0.002310000000,1.308345476351e-12,-3.296662890381e-13
0.002320000000,1.307865654359e-12,-3.296996533874e-13
0.002330000000,1.307389840856e-12,-3.297218613874e-13
0.002340000000,1.306891198661e-12,-3.297445274610e-13
0.002350000000,1.306436398570e-12,-3.297704478156e-13
0.002360000000,1.305968574408e-12,-3.297960240428e-13
0.002370000000,1.305515111595e-12,-3.298156756973e-13
0.002380000000,1.305077750175e-12,-3.298455832805e-13
0.002390000000,1.304640669812e-12,-3.298623012336e-13
0.002400000000,1.304202784752e-12,-3.298884341052e-13
0.002410000000,1.303780566152e-12,-3.299134764407e-13
0.002420000000,1.303364769088e-12,-3.299350579941e-13
0.002430000000,1.302958973760e-12,-3.299579938038e-13
0.002440000000,1.302564134999e-12,-3.299818317643e-13
0.002450000000,1.302168617596e-12,-3.300044262656e-13
0.002460000000,1.301775512399e-12,-3.300273317396e-13
0.002470000000,1.301400657730e-12,-3.300475021844e-13
0.002480000000,1.301022058640e-12,-3.300712959393e-13
0.002490000000,1.300656687056e-12,-3.300966252495e-13
0.002500000000,1.300324640171e-12,-3.301117198877e-13
0.002510000000,1.299938254982e-12,-3.301386605499e-13
0.002520000000,1.299602386847e-12,-3.301604661519e-13
0.002530000000,1.299261117366e-12,-3.301807346747e-13
0.002540000000,1.298922741001e-12,-3.302019589272e-13
0.002550000000,1.298597955583e-12,-3.302241053535e-13
0.002560000000,1.298265894846e-12,-3.302453236490e-13
0.002570000000,1.297955653639e-12,-3.302659185409e-13
0.002580000000,1.297629385457e-12,-3.302901644219e-13
0.002590000000,1.297339102233e-12,-3.303058981029e-13
0.002600000000,1.297029920503e-12,-3.303336600937e-13
0.002610000000,1.296760080355e-12,-3.303489842546e-13
0.002620000000,1.296447891457e-12,-3.303723280573e-13
0.002630000000,1.296163401424e-12,-3.303924507973e-13
0.002640000000,1.295906057199e-12,-3.304114523156e-13
0.002650000000,1.295605656435e-12,-3.304323513010e-13
0.002660000000,1.295348781718e-12,-3.304537182257e-13
0.002670000000,1.295077543171e-12,-3.304752315366e-13
0.002680000000,1.294829332620e-12,-3.304959113902e-13
0.002690000000,1.294561428563e-12,-3.305150244939e-13
0.002700000000,1.294318795034e-12,-3.305343596020e-13
0.002710000000,1.294078560103e-12,-3.305560194389e-13
