label,p,q,z,mask,descent_frac,max_violation,first_violation_iter
pTll_170_350,2,1,1,+-+0,0.75,0.07992606167475934,1
pTll_170_350,2,1,1,+0-+,0.08333333333333333,22.998802429334244,1
pTll_170_350,2,1,1,+0+-,1.0,-0.9987578037928538,-1
pTll_170_350,2,1,1,++-0,0.9166666666666666,0.001575504236223413,1
pTll_170_350,2,1,1,++0-,1.0,-0.9984245548190226,-1
pTll_170_350,1,2,1,--0+,0.0,44.675703887518296,1
pTll_170_350,1,2,1,--+0,0.08333333333333333,27.675703887518303,2
pTll_170_350,1,2,1,-0-+,0.0,41.57636140874305,1
pTll_170_350,1,2,1,-0+-,0.9166666666666666,7.576361408743049,9
pTll_170_350,1,2,1,-+-0,0.25,21.477018929967816,2
pTll_170_350,1,2,1,-+0-,0.9166666666666666,4.477018929967807,9
pTll_170_350,1,2,1,0--+,0.0,23.002640098137388,1
pTll_170_350,1,2,1,0-+-,1.0,-1.0003332489748278,-1
pTll_170_350,1,2,1,0+--,1.0,-0.9996667510271723,-1
pTll_170_350,1,2,1,+--0,0.75,0.07992606167475934,1
pTll_170_350,1,2,1,+-0-,1.0,-0.999090934656193,-1
pTll_170_350,1,2,1,+0--,1.0,-0.9987576856823618,-1
pTll_170_350,2,0,2,00++,0.0,22.999999999999,1
pTll_170_350,2,0,2,0+0+,0.0,22.997359901860616,1
pTll_170_350,2,0,2,0++0,0.9166666666666666,0.0003331308623320873,1
pTll_170_350,2,0,2,+00+,0.08333333333333333,22.998802429334244,1
pTll_170_350,2,0,2,+0+0,0.9166666666666666,0.0012421962071461402,1
pTll_170_350,2,0,2,++00,0.9166666666666666,0.0015754451809773863,1
pTll_170_350,0,2,2,--00,0.08333333333333333,27.675703887518303,2
pTll_170_350,0,2,2,-0-0,0.08333333333333333,24.576361408743058,2
pTll_170_350,0,2,2,-00-,0.9166666666666666,7.576361408743049,9
pTll_170_350,0,2,2,0--0,0.08333333333333333,3.0993424787742434,2
pTll_170_350,0,2,2,0-0-,1.0,-1.00033318991958,-1
