label,p,q,z,fejer_frac_Q,max_violation_Q,argmax_iter_Q,use_abs
phistar_50_76,1,4,0,0.6666666666666666,1.5387539090446865,1,False
phistar_50_76,2,0,3,0.6666666666666666,1.5888798403290139,1,False
phistar_50_76,2,1,2,0.6666666666666666,1.5337422175884683,1,False
phistar_50_76,2,2,1,0.6666666666666666,1.5337422179586326,1,False
phistar_50_76,2,3,0,0.6666666666666666,1.5300301159366256,1,False
phistar_50_76,3,0,2,0.6666666666666666,1.6440174630695594,1,False
phistar_50_76,3,1,1,0.6666666666666666,1.6440174634397238,1,False
phistar_50_76,3,2,0,0.6666666666666666,1.6403053614177168,1,False
phistar_50_76,4,0,1,0.6666666666666666,1.644017462699395,1,False
phistar_50_76,4,1,0,0.6666666666666666,1.640305360677388,1,False
phistar_50_76,5,0,0,0.6666666666666666,1.647729564721402,1,False
