bin,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
3.600000000000000000e+01,-9.404572946848356318e-01,5.879261382626271848e-01,-9.999092042625951082e-01,-9.999092042625951082e-01,9.999092042625951082e-01,9.999092042625951082e-01,9.999092042625951082e-01,-9.774875336065017573e-01,-6.346006720709097548e-01,0.000000000000000000e+00
3.700000000000000000e+01,4.057507950843298739e-01,5.879261382626271848e-01,-9.999092042625951082e-01,-4.018655715793429395e-01,9.999092042625951082e-01,-9.168743302716113597e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-6.346006720709097548e-01,9.817578463571592362e-01
3.800000000000000000e+01,6.472240318910933432e-01,9.999092042625951082e-01,5.028852775081910781e-02,5.879233806307303523e-01,-2.200417473022035497e-01,2.328322263636998235e-01,0.000000000000000000e+00,-9.215523598276565975e-01,7.656935492292916701e-01,9.538608806404822449e-01
3.900000000000000000e+01,6.663496465971111560e-01,9.054693454110582795e-01,5.870537362688712513e-01,6.546340805514264671e-01,-6.354168844441624442e-01,3.934756491233137310e-01,0.000000000000000000e+00,-9.215523598276565975e-01,9.999092042625951082e-01,9.999092042625951082e-01
4.000000000000000000e+01,6.826150693691795945e-01,7.187251231449187650e-01,6.365762599941138244e-01,7.063990408382302411e-01,-6.736869339977125115e-01,5.186304380234386668e-01,0.000000000000000000e+00,-9.215523598276565975e-01,9.521297448751481207e-01,9.634013276217220367e-01
4.100000000000000000e+01,6.760692877896266051e-01,2.704997674485853931e-01,6.359999946546758265e-01,6.861359414477723462e-01,-6.732394374624749434e-01,4.698552997454167879e-01,0.000000000000000000e+00,-9.215523598276565975e-01,5.316218764840372479e-01,9.581896489391669158e-01
4.200000000000000000e+01,6.660007479275379394e-01,2.673879907851661741e-01,5.949064463120251611e-01,6.534724099879243298e-01,-6.414627706215468850e-01,3.906554516755921247e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-4.737886462848229785e-01,9.496404806984105607e-01
4.300000000000000000e+01,6.590361239926477710e-01,3.692263945728834207e-01,5.531833531055201369e-01,6.298454674630523664e-01,-6.094159119675516267e-01,3.333798313203745201e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-4.841075893826343179e-01,9.422803887580536442e-01
4.400000000000000000e+01,6.535663084149823110e-01,3.608600514615125099e-01,5.143723945042777412e-01,6.107159032830202783e-01,-5.797382576657343911e-01,2.872619004931954434e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-6.083078996472371935e-01,9.349702869844983555e-01
4.500000000000000000e+01,6.459659710277514399e-01,3.865022466239944610e-01,4.794101688943164796e-01,5.833261353662024806e-01,-5.530697683713383661e-01,2.219408127584309998e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-5.591927088341769325e-01,9.258771401885265151e-01
