bin,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
1.600000000000000000e+01,6.693109556503233915e-01,6.319633198970696641e-01,-4.269402602202625463e-01,4.918621250697390312e-01,1.216333289930570244e-01,-3.873973375382550599e-01,-9.999092042625951082e-01,0.000000000000000000e+00,4.107475481348302759e-01,0.000000000000000000e+00
1.700000000000000000e+01,7.313318043682756064e-01,1.982279170460452267e-01,-9.427710595806642058e-01,6.069509653249045150e-02,9.501073539769682164e-01,-6.359009678356452033e-01,0.000000000000000000e+00,8.179586911659710025e-02,9.921760867929805272e-01,9.729683730885760329e-02
1.800000000000000000e+01,7.536745261587867173e-01,-5.805675834398089652e-01,-9.553754158648588568e-01,-4.196437195361369943e-01,9.640284593555680237e-01,-1.090304376050307417e-01,0.000000000000000000e+00,1.671597493323444816e-01,9.971259833009283868e-01,1.521223357854804836e-01
1.900000000000000000e+01,7.311138679293519571e-01,-9.167689426484358917e-01,-8.956504657058333985e-01,-5.693189641249449817e-01,8.903232823067768198e-01,1.413025386381475956e-01,0.000000000000000000e+00,2.632006045912417269e-01,9.880647069624011181e-01,1.773024789032784099e-01
2.000000000000000000e+01,6.305669740604072926e-01,-9.843483947363167452e-01,-7.673723297992044445e-01,-5.879261382626225219e-01,6.924583884761484898e-01,1.757528737581455502e-01,0.000000000000000000e+00,3.728448670343002536e-01,9.479554101401851396e-01,1.269757976420286816e-01
2.100000000000000000e+01,3.573686604742346007e-01,-9.969781587469584982e-01,-5.879261382623272025e-01,-7.702686631739839029e-01,3.869213142452451182e-01,5.478671065799873841e-01,0.000000000000000000e+00,4.910637832645973200e-01,7.459068066911421768e-01,1.850763157404580403e-02
2.200000000000000000e+01,-2.569115743271817576e-01,-9.991427785557360775e-01,-2.039161839956585842e-01,-9.888049495363155916e-01,-2.014881679637010869e-01,9.889694994522026938e-01,0.000000000000000000e+00,6.173354547020136751e-01,3.352990585563589421e-01,-1.902172327239451122e-01
2.300000000000000000e+01,-7.688701765803710453e-01,-9.996855829596595910e-01,-3.047303421666756607e-01,-9.989997983520193525e-01,-6.288270319425814936e-02,9.994788659604946224e-01,0.000000000000000000e+00,7.180299369276542665e-01,2.030847212310038785e-01,-4.301887724440812688e-01
2.400000000000000000e+01,-9.276541820976729191e-01,-9.998504053712555795e-01,2.417804844188227720e-01,-9.994392944142356239e-01,-6.630012054515450615e-01,9.997491856149405276e-01,0.000000000000000000e+00,7.756884626384841219e-01,1.021670453547412483e-01,-5.879261382624437760e-01
2.500000000000000000e+01,-9.703666385021880725e-01,-9.998998853792537833e-01,-2.051822602664793438e-01,-9.985570405464260224e-01,-1.998274142717749446e-01,9.991719049117383511e-01,0.000000000000000000e+00,8.100800959765752651e-01,6.888200992289542079e-02,-6.817907659116476671e-01
2.600000000000000000e+01,-9.870830433518158475e-01,-9.999092042625951082e-01,6.828750503251589110e-02,-9.911617102888952147e-01,-5.114497138097217066e-01,9.918176366194544347e-01,0.000000000000000000e+00,8.358894317671571317e-01,3.829676854294161714e-01,-7.493468489219564654e-01
2.700000000000000000e+01,-9.952359742071769100e-01,-9.999092042625951082e-01,-6.164746330131766205e-01,7.368160748448784880e-02,4.356535076811649532e-01,-6.456146034081305940e-01,0.000000000000000000e+00,8.616126908174681631e-01,5.101297419059600546e-01,-8.164425334043161619e-01
